name,url,weight,time_seconds,num_contestants
CSAW CTF Final Round 2014,https://ctftime.org/event/184,1.0,1416016800,15
CSCAMP CTF Quals 2014,https://ctftime.org/event/179,1.0,1416477600,190
Defcamp CTF Finals 2014,https://ctftime.org/event/182,1.0,1417165200,10
CSCAMP CTF Finals 2014,https://ctftime.org/event/181,1.0,1417172400,3
9447 Security Society CTF 2014,https://ctftime.org/event/170,1.0,1417258800,530
SECCON CTF 2014 Online Qualifications,https://ctftime.org/event/183,1.0,1417824000,804
Ghost in the Shellcode Teaser 2015,https://ctftime.org/event/164,1.0,1418500800,23
RuCTFE 2014,https://ctftime.org/event/171,1.0,1419069600,133
31C3 CTF,https://ctftime.org/event/180,1.0,1419710400,286
HackIM 2015,https://ctftime.org/event/186,1.0,1420785000,377
Insomni'hack teaser 2015,https://ctftime.org/event/173,1.0,1420880400,373
Ghost in the Shellcode 2015,https://ctftime.org/event/165,1.0,1421440200,321
WCTF  - th3jackers,https://ctftime.org/event/190,1.0,1422043200,64
SECCON CTF 2014 Finals,https://ctftime.org/event/195,1.0,1423267200,24
Hackfest CTF 2015,https://ctftime.org/event/193,1.0,1423296000,78
Break In 2015,https://ctftime.org/event/199,1.0,1423938600,47
Sharif University CTF Finals 2015,https://ctftime.org/event/189,1.0,1424142000,18
Boston Key Party CTF 2015,https://ctftime.org/event/163,1.0,1425074400,822
Codegate CTF Preliminary 2015,https://ctftime.org/event/201,1.0,1426334400,133
B-Sides Vancouver 2015,https://ctftime.org/event/200,1.0,1426494600,417
Insomni'hack 2015,https://ctftime.org/event/174,1.0,1426874400,56
Securinets CTF Quals 2015,https://ctftime.org/event/211,1.0,1426878000,96
BCTF 2015,https://ctftime.org/event/191,1.0,1426914000,583
0CTF 2015 Quals,https://ctftime.org/event/198,1.0,1427500800,654
BackdoorCTF 2015,https://ctftime.org/event/208,1.0,1427898600,449
UIUCTF 2015,https://ctftime.org/event/192,1.0,1428030000,228
Nuit du Hack CTF Quals 2015,https://ctftime.org/event/196,1.0,1428091200,219
Hack Zone Tunisia 2015,https://ctftime.org/event/204,1.0,1428166800,70
Codegate CTF Finals 2015,https://ctftime.org/event/214,1.0,1428382800,10
UCSB iCTF 2014,https://ctftime.org/event/175,1.0,1428678000,88
PlaidCTF 2015,https://ctftime.org/event/185,1.0,1429304400,894
0CTF 2015 Finals,https://ctftime.org/event/215,1.0,1429920000,12
Teaser CONFidence CTF 2015,https://ctftime.org/event/205,1.0,1429948800,160
VolgaCTF 2015 Quals,https://ctftime.org/event/197,1.0,1430481600,250
ASIS CTF Quals 2015,https://ctftime.org/event/188,1.0,1431149400,412
DEF CON CTF Qualifier 2015,https://ctftime.org/event/212,1.0,1431734400,284
NorthSec 2015,https://ctftime.org/event/324,1.0,1432323000,31
CONFidence CTF 2015,https://ctftime.org/event/206,1.0,1432548000,11
PHD CTF Finals 2015,https://ctftime.org/event/221,1.0,1432623600,9
HITB CTF Amsterdam 2015,https://ctftime.org/event/203,1.0,1432796400,20
PoliCTF 2015,https://ctftime.org/event/207,1.0,1436518800,325
WhiteHat Contest 10,https://ctftime.org/event/226,1.0,1437789600,55
DEF CON CTF 2015,https://ctftime.org/event/213,1.0,1438819200,15
OpenCTF 2015,https://ctftime.org/event/225,1.0,1438963200,61
Camp CTF 2015,https://ctftime.org/event/231,1.0,1439481600,124
Inc0gnito CTF 2015,https://ctftime.org/event/237,1.0,1440234000,193
MMA CTF 1st 2015,https://ctftime.org/event/234,1.0,1441411200,672
VolgaCTF 2015 Finals,https://ctftime.org/event/232,1.0,1441864800,14
CSAW CTF Qualification Round 2015,https://ctftime.org/event/227,1.0,1442613600,1364
Trend Micro CTF Asia Pacific & Japan 2015 Online Qualifier,https://ctftime.org/event/230,1.0,1443240000,359
Defcamp CTF Qualification 2015,https://ctftime.org/event/239,1.0,1443819600,378
ASIS CTF Finals 2015,https://ctftime.org/event/223,1.0,1444458600,197
Hackover CTF 2015,https://ctftime.org/event/249,1.0,1445018400,346
HITCON CTF 2015 Quals,https://ctftime.org/event/245,1.0,1445047200,969
Hack.lu CTF 2015,https://ctftime.org/event/244,1.0,1445328000,248
EKOPARTY CTF 2015,https://ctftime.org/event/247,1.0,1445515200,794
WhiteHat Grand Prix – Qualification Round 2015,https://ctftime.org/event/246,1.0,1445652000,108
TUM CTF Teaser,https://ctftime.org/event/238,1.0,1445688000,443
UConn CyberSEED 2015,https://ctftime.org/event/240,1.0,1446120000,25
CyberSEED Social Engineering Competition 2015,https://ctftime.org/event/243,1.0,1446120000,14
Belluminar 2015,https://ctftime.org/event/269,1.0,1446688800,3
CSAW CTF Final Round 2015,https://ctftime.org/event/271,1.0,1447293600,15
RCTF 2015 Quals,https://ctftime.org/event/266,1.0,1447459200,447
Hack Dat Kiwi 2015,https://ctftime.org/event/260,1.0,1447822800,314
Defcamp CTF Finals 2015,https://ctftime.org/event/270,1.0,1447938000,15
GreHack CTF 2015,https://ctftime.org/event/251,1.0,1448053200,24
Trend Micro CTF Asia Pacific & Japan 2015 Final,https://ctftime.org/event/257,1.0,1448080200,6
RuCTFE 2015,https://ctftime.org/event/228,1.0,1448100000,140
9447 Security Society CTF 2015,https://ctftime.org/event/242,1.0,1448665200,595
UCSB iCTF 2015,https://ctftime.org/event/256,1.0,1449252000,35
HITCON CTF 2015 Final,https://ctftime.org/event/273,1.0,1449280800,13
SECCON 2015 Online CTF,https://ctftime.org/event/274,1.0,1449295200,869
No cON Name CTF Finals 2015,https://ctftime.org/event/277,1.0,1449738000,8
RCTF 2015 Finals,https://ctftime.org/event/267,1.0,1449882000,12
FAUST CTF 2015,https://ctftime.org/event/235,1.0,1450454400,62
WhiteHat Grand Prix – Final Round 2015,https://ctftime.org/event/255,1.0,1450490400,10
32C3 CTF,https://ctftime.org/event/278,1.0,1451246400,389
Insomni'hack teaser 2016,https://ctftime.org/event/258,1.0,1452934800,245
Break In 2016,https://ctftime.org/event/288,1.0,1453573800,147
HackIM 2016,https://ctftime.org/event/285,1.0,1454081400,535
SECCON 2015 Final competition (Intercollege) ,https://ctftime.org/event/286,1.0,1454122800,18
SECCON 2015 Final competition (International) ,https://ctftime.org/event/287,1.0,1454205600,18
Sharif University CTF 2016,https://ctftime.org/event/280,1.0,1454653800,447
Internetwache CTF 2016,https://ctftime.org/event/290,1.0,1455966000,647
SSCTF 2016 Quals,https://ctftime.org/event/282,1.0,1456531200,517
Boston Key Party CTF 2016,https://ctftime.org/event/252,1.0,1457128801,764
Sécu'RT 2016,https://ctftime.org/event/291,1.0,1457616600,7
0CTF 2016 Quals,https://ctftime.org/event/262,1.0,1457740800,874
Sunshine CTF 2016,https://ctftime.org/event/297,1.0,1457798400,281
Codegate CTF 2016 Quals,https://ctftime.org/event/299,1.0,1457816400,99
Insomni'hack 2016,https://ctftime.org/event/283,1.0,1458334800,62
BCTF 2016,https://ctftime.org/event/264,1.0,1458352800,573
VolgaCTF 2016 Quals,https://ctftime.org/event/279,1.0,1458918000,198
Pwn2Win CTF 2016,https://ctftime.org/event/281,1.0,1458923820,521
Securinets CTF Quals 2016,https://ctftime.org/event/306,1.0,1459022400,77
C4CTF 2016,https://ctftime.org/event/302,1.0,1459144800,19
Nuit du Hack CTF Quals 2016,https://ctftime.org/event/284,1.0,1459547999,447
sCTF 2016 Q1,https://ctftime.org/event/309,1.0,1460073600,610
Sthack 2016,https://ctftime.org/event/292,1.0,1460149200,27
RuCTF Finals 2016,https://ctftime.org/event/253,1.0,1460624400,21
Teaser CONFidence CTF 2016,https://ctftime.org/event/307,1.0,1460649600,44
PlaidCTF 2016,https://ctftime.org/event/315,1.0,1460754000,812
Blaze CTF 2016,https://ctftime.org/event/276,1.0,1461126000,389
0CTF 2016 Finals,https://ctftime.org/event/263,1.0,1461362400,12
Google Capture The Flag 2016,https://ctftime.org/event/303,1.0,1461949200,903
Codegate CTF Finals 2016,https://ctftime.org/event/317,1.0,1462191637,9
ASIS CTF Quals 2016,https://ctftime.org/event/275,1.0,1462591800,537
RCC-2016,https://ctftime.org/event/298,1.0,1462950000,9
TU CTF 2016,https://ctftime.org/event/312,1.0,1463176800,433
Moroccan Cyber Security Camp 2016,https://ctftime.org/event/351,1.0,1463212800,22
CONFidence CTF 2016,https://ctftime.org/event/308,1.0,1463644800,22
NorthSec 2016,https://ctftime.org/event/310,1.0,1463785200,39
DEF CON CTF Qualifier 2016,https://ctftime.org/event/320,1.0,1463788800,276
HITB CTF Amsterdam 2016,https://ctftime.org/event/325,1.0,1464256800,20
Belluminar 2016,https://ctftime.org/event/321,1.0,1464757200,10
Security Fest 2016,https://ctftime.org/event/326,1.0,1464775200,147
ALICTF 2016,https://ctftime.org/event/322,1.0,1464998400,336
BackdoorCTF 2016,https://ctftime.org/event/314,1.0,1465054200,214
WhiteHat Contest 11,https://ctftime.org/event/329,1.0,1466820000,58
AltayCTF-2016,https://ctftime.org/event/316,1.0,1466899200,11
IBST.PSU CTF 2016,https://ctftime.org/event/334,1.0,1466922600,7
Nuit du Hack CTF Finals 2016,https://ctftime.org/event/332,1.0,1467487800,10
SECUINSIDE CTF Quals 2016,https://ctftime.org/event/335,1.0,1468033200,393
Trend Micro CTF 2016 Online Qualifier,https://ctftime.org/event/340,1.0,1469851200,281
OpenCTF 2016,https://ctftime.org/event/343,1.0,1470416400,131
DEF CON CTF 2016,https://ctftime.org/event/344,1.0,1470420000,15
IceCTF 2016,https://ctftime.org/event/319,1.0,1471017600,1671
